FacilityName,URL,Address,Phone,LastInspectionDate
1 TO 3 DOLLAR EXPRESS,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0034412,436 E COLONIA RD OXNARD  CA 93030,805-760-1003,10/22/2018
24 HOUR FITNESS,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0025253,1651 S VICTORIA AVE OXNARD  CA 93035,805-988-6000,08/01/2017
24 HOUR FITNESS,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0033799,400 TOWNCENTER DR OXNARD  CA 93036,805-288-8509,05/22/2018
4 WAY MEAT MARKET #6,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062379,440 N ROSE AVE OXNARD  CA 93030,805-486-0444,02/05/2019
4 WAY MEAT MARKET #6,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062380,440 N ROSE AVE OXNARD  CA 93030,805-486-0444,02/05/2019
4 WAY MEAT MARKET #6,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062378,440 N ROSE AVE OXNARD  CA 93030,805-486-0444,02/05/2019
4 WAY MEAT MARKET #6,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062381,440 N ROSE AVE OXNARD  CA 93030,805-486-0444,02/05/2019
4 WAY MEAT MARKET #7 HUENEME,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0063489,541 W HUENEME RD OXNARD  CA 93033,805-271-0078,07/20/2018
4 WAY MEAT MARKET #7 HUENEME,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0063490,541 W HUENEME RD OXNARD  CA 93033,805-271-0078,07/20/2018
4 WAY MEAT MARKET LA REYNA #1,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0064152,508 E DATE ST OXNARD  CA 93033,805-483-1545,03/15/2019
4 WAY MEAT MARKET LA REYNA #1,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0064151,508 E DATE ST OXNARD  CA 93033,805-483-1545,03/15/2019
4 WAY MEAT MARKET LA REYNA #1,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0064153,508 E DATE ST OXNARD  CA 93033,805-483-1545,03/15/2019
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062627,440 S OXNARD BLVD OXNARD  CA 93030,805-486-0244,02/06/2019
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062628,440 S OXNARD BLVD OXNARD  CA 93030,805-486-0244,02/06/2019
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0048356,440 S OXNARD BLVD OXNARD  CA 93030,805-486-0244,02/06/2019
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0048357,440 S OXNARD BLVD OXNARD  CA 93030,805-486-0244,02/06/2019
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062520,2746 E VINEYARD AVE OXNARD  CA 93036,805-485-2756,07/31/2018
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062519,2746 E VINEYARD AVE OXNARD  CA 93036,805-485-2756,07/31/2018
4-WAY MEAT MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062521,2746 E VINEYARD AVE OXNARD  CA 93036,805-485-2756,07/31/2018
4-WAY MEAT MARKET #5,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0052104,403 COOPER RD OXNARD  CA 93030,805-483-8817,01/22/2019
4-WAY MEAT MARKET #5,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0052103,403 COOPER RD OXNARD  CA 93030,805-483-8817,01/22/2019
4-WAY MEAT MARKET #5,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0052105,403 COOPER RD OXNARD  CA 93030,805-483-8817,12/11/2018
7 ELEVEN,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0035505,3280 SAVIERS RD OXNARD  CA 93033,805-240-1377,02/04/2019
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0060502,1955 S PATTERSON RD OXNARD  CA 93030,805-985-7861,12/05/2018
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0000354,1955 S PATTERSON RD OXNARD  CA 93030,805-985-7861,12/05/2018
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0061438,1110 S C ST OXNARD  CA 93030,805-486-8028,01/25/2019
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0001592,1110 S C ST OXNARD  CA 93030,805-486-8028,01/25/2019
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0064480,1501 W 5TH ST OXNARD  CA 93030,805-382-3435,01/16/2019
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0064479,1501 W 5TH ST OXNARD  CA 93030,805-382-3435,01/16/2019
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0063418,1901 N OXNARD BLVD OXNARD  CA 93036,805-981-8065,04/06/2018
7-ELEVEN,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0048430,1901 N OXNARD BLVD OXNARD  CA 93036,805-981-8065,04/06/2018
7-ELEVEN #13874F,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0061561,2060 E PLEASANT VALLEY RD OXNARD  CA 93030,805-488-8500,01/23/2019
7-ELEVEN #13874F,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0000347,2060 E PLEASANT VALLEY RD OXNARD  CA 93030,805-488-8500,01/23/2019
7-ELEVEN #17957,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0058631,2201 E CHANNEL ISLANDS BLVD OXNARD  CA 93033,805-486-6123,01/16/2019
7-ELEVEN #17957,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0000345,2201 E CHANNEL ISLANDS BLVD OXNARD  CA 93033,805-486-6123,01/16/2019
7-ELEVEN STORE 33399A,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0059113,2201 E GONZALES RD OXNARD  CA 93036,805-983-2088,02/05/2019
7-ELEVEN STORE 33399A,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0059111,2201 E GONZALES RD OXNARD  CA 93036,805-983-2088,02/05/2019
7-REGIONES RESTAURANTE,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0030197,921 RICHMOND AVE OXNARD  CA 93030,805-216-3322,12/31/2018
76-CIRCLE K,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062021,2851 N VINEYARD AVE OXNARD  CA 93038,805-530-6399,08/15/2018
76-CIRCLE K,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0062020,2851 N VINEYARD AVE OXNARD  CA 93038,805-530-6399,08/15/2018
8 REGIONES,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0035741,633 W HUENEME RD OXNARD  CA 93033,805-488-4221,01/18/2018
97 CENTS BEST BARGAIN,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003479,101 E 5TH ST OXNARD  CA 93030,805-486-6210,04/16/2018
99 CENTS DISCOUNT CENTER,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003299,441 S C ST OXNARD  CA 93030,805-986-2865,11/27/2018
99 CENTS DISCOUNT CENTER,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0036428,2165 E CHANNEL ISLANDS BLVD OXNARD  CA 93030,805-483-9696,03/27/2018
99 CENTS ONLY STORE #118,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0004026,1855 VENTURA BLVD OXNARD  CA 93030,805-983-0699,08/28/2018
99 CENTS ONLY STORE #381,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0032240,4917 S ROSE AVE OXNARD  CA 93033,323-881-1209,02/20/2019
A LITTLE PIECE OF HEAVEN,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0033902,310 S C ST OXNARD  CA 93030,805-822-3317,01/25/2019
A PLUS MINI MARKET,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0027029,902 N A ST OXNARD  CA 93030,805-485-8650,11/14/2018
A-BURGER,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0021474,155 S OXNARD BLVD OXNARD  CA 93030,805-483-1351,01/28/2019
A-Z LIQUOR,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0002476,2810 S VENTURA RD OXNARD  CA 93033,805-487-3272,03/20/2019
ACAPULCO MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0000474,818 W WOOLEY RD OXNARD  CA 93030,,10/16/2018
ACAPULCO MARKET,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0005169,818 W WOOLEY RD OXNARD  CA 93030,,10/16/2018
ADVANTAGE FOOD SAMPLING PROGRAM @ VONS #2436,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0035205,2101 N ROSE AVE OXNARD  CA 93036,310-321-6898,07/11/2018
ADVANTAGE FOOD SAMPLING PROGRAM @ VONS #2825,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0035193,1291 S VICTORIA BLVD OXNARD  CA 93003,310-321-6898,10/30/2018
AEROVIAJES CARNAVAL & TOURS  INC.,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0033719,301 W 4TH ST OXNARD  CA 93030,805-483-3000,11/27/2018
AFC SUSHI @ FOOD 4 LESS #335,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0034569,250 W ESPLANADE DR OXNARD  CA 93036,310-200-0609,03/27/2018
AFC SUSHI @ VONS 2825,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0019835,1291 S VICTORIA AVE OXNARD  CA 93030,805-984-0651,10/30/2018
AFTERS ICE CREAM,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0036873,544 COLLECTION BLVD OXNARD  CA 93036,951-734-1138,01/30/2019
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0001699,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,11/23/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0002145,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,07/24/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003925,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,06/26/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0009588,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,08/06/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0009085,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,11/21/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003196,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,04/02/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0002730,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,07/30/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0031316,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,06/19/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0030347,2958 STURGIS RD OXNARD  CA 93030,805-278-9695,03/06/2019
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0004241,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,08/24/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003071,2958 STURGIS RD OXNARD  CA 93033,805-278-9395,08/31/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0004233,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,08/13/2018
ALCARAZ CATERING,http://www.decadeonline.com/fac.phtml?agency=VEN&facid=FA0003015,2958 STURGIS RD OXNARD  CA 93030,805-278-9395,06/11/2018
ALCARAZ CATERING INC.,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0060003,2958 STURGIS RD OXNARD  CA 93030,805-302-5186,08/21/2018
ALCARAZ CATERING INC.,http://www.decadeonline.com/insp.phtml?agency=VEN&record_id=PR0060004,2958 STURGIS RD OXNARD  CA 93030,805-302-5186,08/21/2018
